word,category,sentence
グショグショ,texture,途中 で 足 の 爪 が はがれ 、 シューズ の 中 が 血 で グショグショ に なる ほど 悲惨 な 有様 だっ た が 、 幸 か 不幸 か 爪 の 痛み の お陰 で 覚醒 し 、 気絶 する こと なく 計 120 km を 15 時間 かけ て 走り抜き 、 14 kg の 減量 に 成功 。
ぐちゃぐちゃ,texture,しかし 大雨 で ぐちゃぐちゃ に なっ た ピムリコ 競馬 場 の 馬場 は リヴァリッジ に 味方 せ ず 、 別 路線 から 来 た 単勝 20 倍 の 伏兵 ビービービー に ゴール は 掻 っ 攫わ れ た 。
ぐにゃぐにゃ,texture,柔 法 徹 化 拳 の 技 は 「 型 」 に とらわれ ず 、 ぐにゃぐにゃ の 身体 と 感性 を 基本 と し た 指 １ 本 １ 本 から 全身 に 至る まで を 使用 する 身体 用法 が 特徴 で ある 。
サクサク,texture,果肉 は 雪白 色 に 近く 、 サクサク と し た 心地よい 歯 触り で 果汁 も 多い 。
ザクザク,texture,バニラ アイス の 全面 を 厚め の チョコレート と パフ で コーディング し て おり 、 どこ から 食べ て も ザクザク し た 食 感 が 楽しめる の が 特徴 。
さらさら,texture,さらさら と し た 白い 砂 が 特徴 的 な 白 良 浜 （ しら ら はま ） 海水浴 場 は 、 夏 に なる と 近畿 一 円 から の 海水浴 客 が 訪れる こと で も 知ら れ て いる 。
しっとり,texture,この ため 表面 に 水分 が 保持 さ れ 、 しっとり と し た 感触 を もつ 。
シャリシャリ,texture,果皮 も 熟し た もの は とても 甘く 、 シャリシャリ し て 砂糖 粒 の よう な 食 感 が ある 。
ジャリジャリ,texture,食 感 も ジャリジャリ と し た 感じ に なる 。
しんなり,texture,麺 は 縮れ た 蒸し 麺 で は なく 茹で た ストレート の 角 麺 を 使い 、 柔らかく しんなり と し た 出来上がり に なる 。
すべすべ,texture,柔らかく ヌルヌル すべすべ と し た 肌触り 。
つるつる,texture,美肌 に 効果 が ある 重曹 泉 で 、 入浴 し た 後 に つるつる 感 が ある 。
トロトロ,texture,トロトロ と し た 濃厚 な カレー ルー が 特徴 。
ニチャニチャ,texture,団子 を 噛む と 生煮え の 生地 が 歯 に ニチャニチャ と こびり付き 、 原料 粉 の 品質 の 悪 さ も 手伝っ て 非常 に 不味かっ た そう で ある 。
ぬめぬめ,texture,全身 が ぬめぬめ と し た 粘液 で 覆わ れ て おり 、 これ は 外敵 の 攻撃 を 滑ら せ て 受け流す 効果 が ある 。
ぬるぬる,texture,鱗 が なく 、 体 表 は ぬるぬる と し た 粘液 で 覆わ れ て いる 。
ねばねば,texture,孵化 シーン で 漂う 煙 に は 煙草 が 使わ れ 、 幼体 バルゴン を 覆う ねばねば し た 粘液 は 、 アメリカ 製 の 特注 素材 を 使っ て いる 。
パサパサ,texture,すなわち アミロース 含量 が 少ない お 米 は 加熱 時 に やわらかく モチ モチ し た 食 感 に なり 、 アミロース 含量 が 多い と パサパサ し た 食 感 に なる 。
ふかふか,texture,この 白い 部分 は ふかふか と し た 食 感 で あり 、 苦み や 渋み は ない 。
ふにゃふにゃ,texture,一般 制帽 と 似 て いる が 、 帽子 の 中 に 形状 を 保つ ため の ワイヤー が 入っ て い ない ため 、 ふにゃふにゃ し て いる 。
ベタベタ,texture,一級 酒 や 特級 酒 は 「 飲む の に は いい が 、 マッサージ の 時 に 患部 に 塗る と ベタベタ する から 」 という の が 理由 で ある 。
べとべと,texture,髪 は べとべと で 、 口 は 大きく 、 疲れはて た 四 十 代 に も 異常 に 元気 な 六 十 代 に も 見え て 年 齡 不詳 だっ た 。
ぶよぶよ,texture,ぶよぶよ し た 血 の 塊 の よう な もの で ある か 、 もしくは 生前 の まま で ある と さ れる こと が 多い 。
ざらざら,texture,厚め で ざらざら し た もの や 薄く て すべすべ し た もの など 、 鉛筆 画 や 水彩 画 といった 画風 に 応じ て 様々 な もの が 用い られる 。
つぶつぶ,texture,基本 味 以外 の 、 辛味 物質 、 アルコール 、 炭酸 飲料 など の 化学 的 刺激 や 、 温度 （ 熱 さ ・ 暖か さ ・ 冷た さ ） 、 舌触り （ つぶつぶ 感 、 柔らか さ 、 硬 さ 、 滑らか さ ） など の 物理 的 刺激 は 、 化学 的 受容 体 を 介する こと なく 直接 神経 を 刺激 し て 大脳皮質 味覚 野 に 伝達 さ れ 、 基本 味 と 合わせ て 総合 的 な 味覚 を 形成 する 。
ドロドロ,texture,その 内部 で は 一部 の 神経 、 呼吸 器 系 以外 の 組織 は ドロドロ に 溶解 し て いる 。
ぬらぬら,texture,一般 に は 、 タコ に 似 た 頭部 、 イカ の よう な 触 腕 を 無数 に 生やし た 顔 、 巨大 な 鉤爪 の ある 手足 、 ぬらぬら し た 鱗 に 覆わ れ た 山 の よう に 大きな ゴム 状 の 身体 、 背 に は コウモリ の よう な 細い 翼 を 持っ た 姿 を し て いる と さ れる 。
ふわふわ,texture,上手 に 焼く と 、 中 が ふわふわ で 表面 が カリカリ に なる 。
コリコリ,texture,これ が 風味 と いい コリコリ と し た 食 感 と いい 絶品 だ という 説 が 流布 し て いる 。
カリカリ,texture,そのまま の 状態 で は カリカリ という 食 感 が 楽しめ 、 また すり おろす と 芋 と 同様 の 強い 粘り が ある
ボロボロ,texture,ただし 、 この 新 素材 は 従来 品 より 劣化 が 激しく 、 数 年 で クッキー 菓子 の 様 に ボロボロ に 割れる という 現象 が 確認 さ れ て いる （ 2007 年 以降 発売 さ れ た ヘッツァー 駆逐 戦車 や JS - 2 重 戦車 など で は ベルト 式 と 部分 連結 式 の 双方 が 同 梱 さ れ て いる ） 。
プルプル,texture,黒っぽい 麺 と プルプル し た 食 感 、 サツマイモ 由来 の ほのか な 甘 さ が 特色 で 、 この 黒っぽい 色 は サツマイモ に 含ま れる 色素 による もの だ と いう 。
チクチク,texture,見た目 は 柔らか そう で ある が 実際 に は 硬い 藻 で あり 、 手 で 触れる と チクチク と し た 感触 が ある 。
むずむず,texture,この むずむず と し た 不快 感 や 痛み など の 不快 な 異常 感覚 ・ 身体 症状 が 下肢 や 腰 ・ 背中 ・ 腕 など に 出現 する ため 、 患者 は これ を 抑える ため 常に 脚 を 動かし たり 身体 を さすら なけれ ば なら ない 状況 に 追い立て られる 。
ヒリヒリ,texture,和名 の 由来 は 、 葉 の 縁 の 刺 に 触る と ヒリヒリ 痛む （ 古語 ： 疼 （ ひひ ら ） く ・ 疼 （ ひい ら ） ぐ ） こと から 。
ふわっと,texture,店名 で ある 和 ふ 庵 の 由来 は ふわっと し た 食 感 の 饅頭 を 和み ながら 食べ て 欲しい という 願い から 名づけ られ た 。
ホクホク,texture,デンプン が 多く ホクホク し た 食 感 が 得 られる が 、 煮 くずれ し やすい 。
キラキラ,visual,花 柄 、 キラキラ し た 光 を 表し た もの など 非常 に 多く の 種類 が あり 、 また 日々 新しい 柄 トーン が 各社 から 開発 さ れ て いる 。
ギラギラ,visual,目撃 者 の 多く は 、 モス マン を 一瞬 しか 見 て おら ず 、 モス マン の 顔 は あまり 詳細 まで 覚え て は い ない が 、 目 が ギラギラ と 赤く 輝き 、 目と 目 の 間隔 が 大きく 開い て いる こと だけ は 、 多く の 目撃 者 の 証言 が 一致 し て いる 。
ピカピカ,visual,渓谷 から 見上げる と ルートヴィヒ 館 の 修復 さ れ た 窓 が ピカピカ と 輝い て 見える 。
ぴかり,visual,この 踊り は 変り目 ごと に 懐 から 懐中 電灯 を 取り出し ピカリ と つける と ぼけ た 趣向 で 客 は 失笑 し 脚光 を 浴び た 。
きらり,visual,『 餓狼 SP 』 以降 は 戦闘 中 に 挑発 を 出す と 、 手拭い で 頭 を 拭き 、 拭い た 頭 が きらり と 光っ て 効果 音 が 流れる という 滑稽 な 一 面 を 見せる 。
ぼんやり,visual,南半球 で は 、 き ょしちょう 座 に ぼんやり と し た 雲 の よう に 見える 。
はっきり,visual,歴史 上 、 非常 に 明るく 肉眼 で も はっきり 見え 、 多く の 人 に 目撃 さ れ た よう な 彗星 は 大 彗星 と 呼ば れる こと が ある 。
くっきり,visual,ワトスン が 驚い た こと に 、 221 B の 部屋 の 窓 に は 、 ホームズ の シルエット が 室内 の 明かり で くっきり と 映し出さ れ て いる 。
どんより,visual,冬 の 日 は どんより と し た 天気 が 続く 。
チカチカ,visual,ドーナツ 状 に キラキラ と 光る ギザギザ し た ガラス 片 や 、 ノコギリ の ふち の よう な もの 、 あるいは ジグザグ 光線 の よう な 幾何 学 模様 が 稲妻 の よう に チカチカ し ながら 光 の 波 が 視界 の 隅 に 広がっ て いく 。
ちらちら,visual,三門 博 の 代名詞 的 作品 で 「 遠く ちらちら 灯り が ゆれる あれ は 言 問 こちら を みれ ば 」 の 歌い 出し （ 外題 付け ） で 知ら れる 。
ぱっちり,visual,暑い アフリカ 大陸 が 出自 で ある ため 、 大きな ぱっちり と し た 目 を し て いる 者 が 多い 。
ズラリ,visual,携帯 電話 に は 、 全国 の 研究 者 の 連絡 先 が ズラリ と 並ん で おり 、 全国 各地 の 漁師 町 に も ネットワーク は 及ん で いる 。
ぎっしり,visual,しかし 仮に 、 一定 の 空間 内 に 粒子 が すき間 なく ぎっしり 詰まっ て い た と する と 、 その 空間 の 内部 に ある 粒子 は 膨張 ・ 収縮 の 運動 を する こと が でき ない 。
びっしり,visual,これ は 、 満員 御礼 に なる よう に 客 が びっしり と 入る よう に と の 願い を 込め て 書か れる 。
みっしり,visual,ただし みっしり と 字 が つまっ て いる わけ で は なく 、 最初 の 行 は 3 字 、 最後 の 行 は 5 字 で 、 文字数 は 全部 で 24 字 と なる 。
ぎらり,visual,「 エクレール 」 と は 、 仏語 で 「 雷 ・ 稲妻 」 の 意味 で 、 この 名前 の 由来 に は いくつ か 説 が あり 、 焼い た 表面 に できる 割れ目 が 稲妻 に 似 て いる ため に 名付け られ た という 説 、 チョコレート や アイシング が ぎらり と 光る から という 説 、 中 の クリーム が 飛び出 たり 、 表面 の チョコレート が 溶け ない うち に 、 稲妻 の よう に 素早く 食べる べし という 説 、 さらに は 雷神 が 天空 を 駆け て いっ た とき に 落とし た 糞 という 説 など が ある 。
ギョロリ,visual,以降 、 痩せこけ た 頬 と ギョロリ と 目 の 光る 特異 な マスク が 特徴 的 で 、 演技 の 幅 が 広い 、 個性 的 な 名 脇役 として 活躍 し た 。
がっしり,visual,がっしり し た 体形 で 、 声 は 甲高く 、 話 好き で 機知 に 富み 、 多少 学者 ぶっ た ところ が あっ た と いわ れ て いる 。
すっきり,visual,また 、 プログラム を 書く 時 で は なく 読む 段 において は 、 表面 上 一見 すっきり と 見える の と は 裏腹 に 、 その 裏側 で スタック の 状態 が どう なっ て いる の か を 把握 し なけれ ば 、 デバッグ など が でき ない 。
パラパラ,visual,その ため 、 代用 書体 における 画面 表示 で は 文字 が パラパラ と 開い て 見え たり 、 逆 に 文字 間 が 接し て 見える など の 現象 が 生じる 。
すらり,visual,すらり と 背 が 高く 色気 の ある 二枚目 。
ガラン,visual,その 日 の 朝日新聞 夕刊 は 、 事 の 顛末 を 「 … ガラン と し た 首相 官邸 の 会見 室 で 、 首相 は モノ いわ ぬ 機械 に 向かっ て 一 人 で しゃべっ て い た 」 と 突き放す よう に 締めくくっ た 。
つやつや,visual,肌 の つやつや し た 様子 を 強調 し て 「 紅顔 の 美少年 」 という 形容 が 使わ れる こと も ある 。
スケスケ,visual,スケスケ の ガウン と 大和 本人 が 歌い ながら 入場 する 「 進み 続ける 限り 」 で ブレイク 中 。
ブカブカ,visual,また 水田 わさび 版 アニメ で は 、 デザイン と 対象 者 の 合わせ 方 が 不十分 な ため に ブカブカ の 服 に なっ て しまっ た 場面 も ある 。
スカスカ,visual,その ため 、 羽化 し て 活動 を 開始 し た ばかり の オサムシ の 成虫 は 体 は 十分 大きい もの の 体内 は スカスカ な 状態 で あり 、 卵巣 など も 未 発達 な 状態 に ある 。
テカテカ,visual,若い ころ から 髪 が 少なかっ た そう で 、 私 が 物心 つい た ころ に は ほとんど 丸坊主 、 頭 は テカテカ 光っ て い た 。2
だらり,visual,頭部 を だらり と 下げ 、 極端 で ない 程度 に 官能 的 な ポーズ を とっ て いる 。
メチャクチャ,visual,中学 時代 の 伊東 の 走り は アゴ は 上がる 、 肩 は 大きく ぶれる 、 腕 の 振り は メチャクチャ といった もの で あっ た 。
よれよれ,visual,破れ た 細い ジーンズ や 古 Tシャツ 、 革 ジャン 、 よれよれ の ジャケット など の ファッション も 若者 の 間 で 流行 し た 。
ショボショボ,visual,いつも は 眠 そう な 、 ショボショボ と し た 目 つき を し て いる が 事件 の 渦中 に あっ て 、 かつ 自身 が 強く 興味 を 持っ た こと に対して は 真剣 な 目 つき に 変わる 。
しわしわ,visual,いつも は 眠 そう な 、 ショボショボ と し た 目 つき を し て いる が 事件 の 渦中 に あっ て 、 かつ 自身 が 強く 興味 を 持っ た こと に対して は 真剣 な 目 つき に 変わる 。
ぽつぽつ,visual,双眼 鏡 で も 微 星 が ぽつぽつ みえる 。
イライラ,emotion,当時 、 アメリカ の 文化 的 ・ 言語 的 浸透 に イライラ し て い た 。
ウキウキ,emotion,CD ジャーナル は 、 「 テクノ ポップ の ビート 上 に 、 歌謡 テイスト の ハッピー な 歌 が 明るく 弾け 飛ん で いる 、 聴き 手 を 無条件 に ウキウキ と し た 気分 に する 作品 。 」 と 批評 し た 。
うじうじ,emotion,運動 音痴 で 何 も とり え が 無く 、 いつも うじうじ し て いる こと から 、 典型 的 な いじめ られ っ こ 。
おどおど,emotion,暗い 性格 で 、 いつも おどおど し て いる キャリー は いじめ っ子 たち にとって 格好 の 相手 で あっ た 。
オロオロ,emotion,「 天然 で おっとり 」 と いう より は 少し 鈍 な ところ が あり 、 いつも オロオロ し て いる 。
くよくよ,emotion,つまり 「 あの 時 、 赤い ボール を 拾っ て さえ いれ ば … 」 など と くよくよ 悩む こと は 意味 が ない の で ある 。
げんなり,emotion,家庭 で は 高圧 的 に 振る舞い 、 貧しい 環境 で 育っ た 自分 に対し 息子 の 環境 が いかに 恵まれ て いる か を 言い立て て 息子 を げんなり さ せ た 。
しょんぼり,emotion,酒場 で しょんぼり し て い た ドン に ジョニー は 励まし の 言葉 を かける が 、 ドン は 新しい パートナー を 見つけ た と 答え た 。
しんみり,emotion,慎 太郎 は 一瞬 表情 を 変え 、 「 やっぱり 兄弟 は 生まれ た 順 に 死ん で いく 方 が 良い よ ね 」 と しんみり と し た 口調 で 話し た 。
そわそわ,emotion,至時 と 暦法 の 話 を し て い て も 、 夕方 に なる と そわそわ し だし て 、 話 の 途中 で 席 を 立っ て 急い で 家 に 帰っ て い た 。
タジタジ,emotion,2 人 の 相変わらず 猛烈 な アタック に タジタジ に なり ながら も 、 やがて 結花 の 優し さ に 惹か れ て いく 優 介 。
ドキドキ,emotion,岩沢 は 、 ドキドキ し て いる 北川 に 比べ て かなり 軽く OK の 返事 を し た という （ 参照 ： WEST 21 ） 。
どぎまぎ,emotion,また 、 イヌ を 連れ た 女の子 に 一目 ぼれ し た とき は 、 ムク を 散歩 に 駆り出し て 会話 する も 終始 どぎまぎ し て い た 。
ニコニコ,emotion,実相寺 昭雄 は 仕事 で スタッフ と 円谷 の 自宅 を 訪問 する 度 に 鰻 を 御馳走 さ れ 、 「 僕 は カレーライス で 充分 な ん だ 」 と ニコニコ し て い た 姿 を 印象深い もの として 述懐 し て いる 。
ニタニタ,emotion,小五郎 は 、 想定 の 範囲 内 だっ た の か 、 岸 に 上がり 、 額 から 血 を 流し ながら も 、 ニタニタ 笑っ て い た と いう 。
ニヤニヤ,emotion,また 、 ビートたけし の 母 が 1999 年 に 亡くなっ た 際 に 葬儀 に 参列 し 、 ニヤニヤ 笑っ て い た ため 北野 家 の 遺族 達 を 激怒 さ せ た と 言う 。
びくびく,emotion,暇 な 時 だけ 過剰 に 干渉 する 母 に 苦しみ つつ 、 嫌わ れ まい と びくびく し て 暮らし た と 、 初めて 本音 で 話し 、 母 を 責める エヴァ 。
びっくり,emotion,この 7 人 姉妹 が 楽しく 踊っ て い た ところ 、 勇者 オーリーオーン （ オリオン 座 ） が やってき て 、 7 人 は びっくり し て 逃げ た 。
むしゃくしゃ,emotion,岡田 が ムシャクシャ し た 挙句 、 便所 で 浮かん だ の が 1975 年 に 映画 化 さ れ た 『 県警 対 組織 暴力 』 という 映画 の タイトル 。
ルンルン,emotion,その後 「 ルンルン 気分 で 撮れる 」 と の 意味 を 合わせ 、 正式 に 「 写ルンです 」 という 名前 に 決定 し た 。
わくわく,emotion,普通 なら 読ん で い て 楽しく 、 わくわく する もの だ が 、 この 本 は 常に 不運 と 不幸 だらけ 、 本 の 冒頭 で 作者 みずから 非常 に 不愉快 で 可哀想 な 物語 で ある と 語っ て いる
ハラハラ,emotion,問題 が 沢山 入り すぎ て い て ハラハラ し ます ね と 浦 谷 が 水 を 向ける と 、 監督 は 以下 の 通り 語っ た 。
ヒヤヒヤ,emotion,校長 から も 目 を 付け られ 、 校長 秘書 で ある 母親 の クレア は いつも ヒヤヒヤ し て いる 。
モヤモヤ,emotion,その 2 年 後 エキストラ として つい た 『 酔 拳 2 』 の 現場 で 彼 を 覚え て い た ジャッキー から 「 香港 に 住ん で いる の か ？ 」 と 声 を かけ られ 、 谷垣 の 心 に は モヤモヤ し た もの が 残っ た と いう 。
めそめそ,emotion,声楽 パート に対して も 咳きこん だり 、 いびき を かい たり 、 めそめそ し たり 、 笑っ たり 、 叫ん だり する こと が 歌う 以外 に 求め られ て いる 。
がっかり,emotion,ノ イス の 最も 幼い ころ の 記憶 は 、 卓球 で 父 に 勝ち 、 それ を 母 に 知らせ た ところ 「 パパ が あなた に 勝た せ て あげ た の よ 」 と 言わ れ て がっかり し た こと だ と いう 。
うっとり,emotion,フェルディナンド は うっとり と し 、 何でも 妃 の 願い事 を 聞い た と いう 。
ホッ,emotion,3 歳 チャンピオン な ん です から 正直 、 ホッ と し た という 気持ち です 。
ムッ,emotion,大友 に は ムッ と さ れ た と いう 。
ギョッ,emotion,ただし 、 上述 の 通り 相手 を ギョッ と さ せる 程 の 極め すなわち 力 の 集約 が なけれ ば なら ない 。
あたふた,emotion,パニック 状態 の 敵 は あたふた と 動き回っ たり その 場 で 立ち止まる だけ の 無防備 な 状態 と なり 、 通常 の 状態 で は ガード の 固い 敵 に も 効率 的 に ダメージ が 与え られる ほか 、 パニック 中 の 敵 は ダメージ を 与える たび に メダル か ルク を ドロップ する 。
くさくさ,emotion,1999 年 、 30 年 前 と 同じ よう に ニューヨーク で オーロラ が 観測 さ れ て い た 頃 、 ジョン （ ジェームズ ・ カヴィーゼル ） は 結婚 を 約束 し て 同棲 を し て い た 女性 が 意見 の 相違 から 家 を 出 て 行き 、 くさくさ し た 気分 で 近く の 野球 場 で ビール を 飲み 、 夜空 の オーロラ を 眺め て 亡くなっ た 父親 の 事 を 考え て い た 。
うんざり,emotion,伝統 的 記述 で は 、 老子 は 都市 生活 における モラル の 低下 に うんざり する よう に なり 、 王国 の 衰退 を 記し た と いう 。
ほろり,emotion,情熱 的 な 官能 描写 に 加え 、 ほろり と 心 に 響く 人間 模様 も 大切 に し 、 躰 も 心 も 濡れ させる 文章 が 特徴 的 。
ジーン,emotion,この マイク を 使っ て 何 か を 話す と 「 感動 周波 音波 」 なる もの が 出 て 、 聞い た 人 の 脳 を 揺さぶっ て どんな 内容 の 言葉 で も 相手 を ジーン と 感動 さ せる こと が できる 。
にんまり,emotion,彼 は 犬歯 を はじめ と し た 犬 の 歯並び を し て おら ず 、 人間 と 同じ 歯並び を し て いる の が 、 「 いたずら スヌーピー 」 の 作中 で にんまり 笑っ た 時 に 確認 できる （ かなり キレイ な 歯並び を し て いる ） 。
カンカン,emotion,これ に 気づい た 伯爵 は カンカン に なり 、 皆 を 呼び 集める 。
うずうず,emotion,たとえば 、 翻訳 学校 に 通う 方々 など は 、 翻訳 の 腕 を 試し たく て うずうず し て いる でしょ う し 、 そういう 方々 の 生活 は 存じ ない の です が 、 もしか し たら 、 結構 時間 を お もち かも 知れ ませ ん 。
メロメロ,emotion,中川 さん が メロメロ に なっ て いる のに 、 隣 に 座っ て いる 財務 官 が 、 涼しい 顔 を し て いる の は 異常 だ 、 と 。
ピリピリ,emotion,中三 の 沼田 茂之 の 高校 受験 を 控え 、 父 の 孝 助 、 母 の 千賀子 、 兄 の 慎一 たち まで 家中 が ピリピリ 。
くすくす,emotion,彼 は 洗練 さ れ た 人物 として で は なく 、 派手 な 装い で 登場 すれ ば その 悪 趣味 を 賓客 に くすくす と 笑わ れ 、 教養 人 を 装っ て 古典 の 知識 を 披露 すれ ば 間違い を 露呈 し て ばかり で ある など 、 むしろ 滑稽 さ を もっ た キャラクター として 描か れる 。
